class_id,class_name,class_task,task0_ap,task0_f1,task0_precision,task0_recall,task0_support,task0_predicted_positive,task0_tp,task0_fp,task0_fn,task0_tn,task1_ap,task1_f1,task1_precision,task1_recall,task1_support,task1_predicted_positive,task1_tp,task1_fp,task1_fn,task1_tn,task2_ap,task2_f1,task2_precision,task2_recall,task2_support,task2_predicted_positive,task2_tp,task2_fp,task2_fn,task2_tn,task3_ap,task3_f1,task3_precision,task3_recall,task3_support,task3_predicted_positive,task3_tp,task3_fp,task3_fn,task3_tn,task4_ap,task4_f1,task4_precision,task4_recall,task4_support,task4_predicted_positive,task4_tp,task4_fp,task4_fn,task4_tn,task5_ap,task5_f1,task5_precision,task5_recall,task5_support,task5_predicted_positive,task5_tp,task5_fp,task5_fn,task5_tn,task6_ap,task6_f1,task6_precision,task6_recall,task6_support,task6_predicted_positive,task6_tp,task6_fp,task6_fn,task6_tn,task7_ap,task7_f1,task7_precision,task7_recall,task7_support,task7_predicted_positive,task7_tp,task7_fp,task7_fn,task7_tn
0,Affection,0,0.3664616355873467,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,4208.0,0.2987583505443142,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,5756.0,0.2865894145094444,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,5853.0,0.2474085330151745,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,6410.0,0.2272126225475542,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,6520.0,0.2212427280236563,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,6532.0,0.2083038306874935,0.0,0.0,0.0,1219.0,0.0,0.0,0.0,1219.0,6545.0,0.1980112758253807,0.0,0.0,0.0,1219,0,0,0,1219,6546
1,Anger,0,0.1688189856170477,0.1015228426395939,0.5,0.0564971751412429,177.0,20.0,10.0,10.0,167.0,5240.0,0.15215705116244,0.0725388601036269,0.4375,0.03954802259887,177.0,16.0,7.0,9.0,170.0,6789.0,0.1379250486009418,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,6895.0,0.0533487525842537,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7452.0,0.0437797781656349,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7562.0,0.0388470846700988,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7574.0,0.0449991481720232,0.0,0.0,0.0,177.0,0.0,0.0,0.0,177.0,7587.0,0.0380879329795007,0.0,0.0,0.0,177,0,0,0,177,7588
2,Annoyance,0,0.1990412595298738,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,4966.0,0.19162530195746,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,6514.0,0.1964228172953234,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,6611.0,0.1120129894728354,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7168.0,0.0999107532640458,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7278.0,0.0903588808531892,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7290.0,0.0975880861224501,0.0,0.0,0.0,461.0,0.0,0.0,0.0,461.0,7303.0,0.0854869594208832,0.0,0.0,0.0,461,0,0,0,461,7304
3,Anticipation,0,0.9212527776315784,0.9047371160853722,0.8459890965732088,0.9722533005146564,4469.0,5136.0,4345.0,791.0,124.0,167.0,0.7170760692474393,0.7438596491228071,0.6902892166251676,0.8064443947191765,4469.0,5221.0,3604.0,1617.0,865.0,889.0,0.6994366355983891,0.1918232900600658,0.7153179190751445,0.1107630342358469,4469.0,692.0,495.0,197.0,3974.0,2406.0,0.6879028978000672,0.0,0.0,0.0,4469.0,0.0,0.0,0.0,4469.0,3160.0,0.6370492778117849,0.0,0.0,0.0,4469.0,0.0,0.0,0.0,4469.0,3270.0,0.6047563917351161,0.0,0.0,0.0,4469.0,0.0,0.0,0.0,4469.0,3282.0,0.5659611044874753,0.0,0.0,0.0,4469.0,0.0,0.0,0.0,4469.0,3295.0,0.5598821311950287,0.0,0.0,0.0,4469,0,0,0,4469,3296
4,Aversion,0,0.1172201802737614,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,5148.0,0.103684809788071,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,6696.0,0.0948285016968477,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,6793.0,0.0686911812087848,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7350.0,0.063452189022412,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7460.0,0.0601329349921796,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7472.0,0.0643181899802043,0.0,0.0,0.0,279.0,0.0,0.0,0.0,279.0,7485.0,0.0568222713983168,0.0,0.0,0.0,279,0,0,0,279,7486
5,Confidence,1,,,,,,,,,,,0.8453900448267397,0.7270462190108384,0.7914293463520478,0.6723502304147465,4340.0,3687.0,2918.0,769.0,1422.0,1866.0,0.8122738205144796,0.0563254358515869,0.9402985074626866,0.0290322580645161,4340.0,134.0,126.0,8.0,4214.0,2724.0,0.8145115141257595,0.0,0.0,0.0,4340.0,0.0,0.0,0.0,4340.0,3289.0,0.7495612170706718,0.0,0.0,0.0,4340.0,0.0,0.0,0.0,4340.0,3399.0,0.6767102417545894,0.0,0.0,0.0,4340.0,0.0,0.0,0.0,4340.0,3411.0,0.5885599873880119,0.0,0.0,0.0,4340.0,0.0,0.0,0.0,4340.0,3424.0,0.5605995960171919,0.0,0.0,0.0,4340,0,0,0,4340,3425
6,Disapproval,1,,,,,,,,,,,0.1692227395999,0.0091116173120728,0.25,0.0046403712296983,431.0,8.0,2.0,6.0,429.0,6538.0,0.1602803858908039,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,6641.0,0.1016822506348773,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7198.0,0.0910084937993908,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7308.0,0.0834641440262499,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7320.0,0.0936698071204925,0.0,0.0,0.0,431.0,0.0,0.0,0.0,431.0,7333.0,0.0827844653057873,0.0,0.0,0.0,431,0,0,0,431,7334
7,Disconnection,1,,,,,,,,,,,0.3460760447465665,0.3930379746835443,0.3612565445026178,0.4309507286606523,1441.0,1719.0,621.0,1098.0,820.0,4436.0,0.3107075078084079,0.0109439124487004,0.3809523809523809,0.0055517002081887,1441.0,21.0,8.0,13.0,1433.0,5618.0,0.2072296291260137,0.0,0.0,0.0,1441.0,0.0,0.0,0.0,1441.0,6188.0,0.1965526591696277,0.0,0.0,0.0,1441.0,0.0,0.0,0.0,1441.0,6298.0,0.1926322345938025,0.0,0.0,0.0,1441.0,0.0,0.0,0.0,1441.0,6310.0,0.1944622171403322,0.0,0.0,0.0,1441.0,0.0,0.0,0.0,1441.0,6323.0,0.183341916634812,0.0,0.0,0.0,1441,0,0,0,1441,6324
8,Disquietment,2,,,,,,,,,,,,,,,,,,,,,0.170261212201455,0.0141467727674624,0.2352941176470588,0.0072926162260711,1097.0,34.0,8.0,26.0,1089.0,5949.0,0.1474537260776608,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6532.0,0.1481671602900925,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6642.0,0.1479883996821595,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6654.0,0.1515871794432223,0.0,0.0,0.0,1097.0,0.0,0.0,0.0,1097.0,6667.0,0.1474708250707645,0.0,0.0,0.0,1097,0,0,0,1097,6668
9,Doubt/Confusion,2,,,,,,,,,,,,,,,,,,,,,0.1430312070163615,0.2292975442604226,0.1332780082987552,0.8202247191011236,979.0,6025.0,803.0,5222.0,176.0,871.0,0.129669627389228,0.0,0.0,0.0,979.0,0.0,0.0,0.0,979.0,6650.0,0.1303847051809763,0.0,0.0,0.0,979.0,0.0,0.0,0.0,979.0,6760.0,0.1305674618058895,0.0,0.0,0.0,979.0,0.0,0.0,0.0,979.0,6772.0,0.1320591625878795,0.0,0.0,0.0,979.0,0.0,0.0,0.0,979.0,6785.0,0.1286253077147332,0.0,0.0,0.0,979,0,0,0,979,6786
10,Embarrassment,2,,,,,,,,,,,,,,,,,,,,,0.0222645669939289,0.0,0.0,0.0,160.0,0.0,0.0,0.0,160.0,6912.0,0.0256572766480707,0.0,0.0,0.0,160.0,0.0,0.0,0.0,160.0,7469.0,0.027018560691473,0.0,0.0,0.0,160.0,0.0,0.0,0.0,160.0,7579.0,0.0263368635982171,0.0,0.0,0.0,160.0,0.0,0.0,0.0,160.0,7591.0,0.0284128491540188,0.0,0.0,0.0,160.0,0.0,0.0,0.0,160.0,7604.0,0.0263463601872438,0.0,0.0,0.0,160,0,0,0,160,7605
11,Engagement,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8423910067488882,0.8996899113002091,0.8176694193210119,1.0,6238.0,7629.0,6238.0,1391.0,0.0,0.0,0.803913714008238,0.8926092866852686,0.8060472929319034,1.0,6238.0,7739.0,6238.0,1501.0,0.0,0.0,0.7756050862651179,0.8908765652951699,0.804575416828228,0.9979159987175376,6238.0,7737.0,6225.0,1512.0,13.0,1.0,0.7589059710803909,0.0,0.0,0.0,6238.0,0.0,0.0,0.0,6238.0,1526.0,0.7659140760152146,0.0,0.0,0.0,6238,0,0,0,6238,1527
12,Esteem,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1613858867355379,0.0,0.0,0.0,1286.0,0.0,0.0,0.0,1286.0,6343.0,0.1589709394066439,0.0,0.0,0.0,1286.0,0.0,0.0,0.0,1286.0,6453.0,0.1594972123950987,0.0,0.0,0.0,1286.0,0.0,0.0,0.0,1286.0,6465.0,0.1588812377194806,0.0,0.0,0.0,1286.0,0.0,0.0,0.0,1286.0,6478.0,0.1619133014606323,0.0,0.0,0.0,1286,0,0,0,1286,6479
13,Excitement,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7510231949106668,0.0,0.0,0.0,4292.0,0.0,0.0,0.0,4292.0,3337.0,0.7315073006051026,0.0,0.0,0.0,4292.0,0.0,0.0,0.0,4292.0,3447.0,0.6720020011701354,0.0,0.0,0.0,4292.0,0.0,0.0,0.0,4292.0,3459.0,0.591791593341778,0.0,0.0,0.0,4292.0,0.0,0.0,0.0,4292.0,3472.0,0.5696000160078251,0.0,0.0,0.0,4292,0,0,0,4292,3473
14,Fatigue,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0728101951278483,0.0,0.0,0.0,470.0,0.0,0.0,0.0,470.0,7269.0,0.0727001436232457,0.0,0.0,0.0,470.0,0.0,0.0,0.0,470.0,7281.0,0.0753408997093251,0.0,0.0,0.0,470.0,0.0,0.0,0.0,470.0,7294.0,0.0707083100688056,0.0,0.0,0.0,470,0,0,0,470,7295
15,Fear,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0458938489239458,0.0,0.0,0.0,261.0,0.0,0.0,0.0,261.0,7478.0,0.0467337073722215,0.0,0.0,0.0,261.0,0.0,0.0,0.0,261.0,7490.0,0.0476837179608951,0.0,0.0,0.0,261.0,0.0,0.0,0.0,261.0,7503.0,0.0466376085315444,0.0,0.0,0.0,261,0,0,0,261,7504
16,Happiness,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4946064488733876,0.6901920961326902,0.526941465305595,1.0,4078.0,7739.0,4078.0,3661.0,0.0,0.0,0.4997150194998531,0.6894919266210161,0.5261256612050058,1.0,4078.0,7751.0,4078.0,3673.0,0.0,0.0,0.5048398501944978,0.0,0.0,0.0,4078.0,0.0,0.0,0.0,4078.0,3686.0,0.5302612286444061,0.0,0.0,0.0,4078,0,0,0,4078,3687
17,Pain,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0362975555843725,0.0,0.0,0.0,184.0,0.0,0.0,0.0,184.0,7567.0,0.0381219490051629,0.0,0.0,0.0,184.0,0.0,0.0,0.0,184.0,7580.0,0.0404090454585642,0.0,0.0,0.0,184,0,0,0,184,7581
18,Peace,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1973224519473727,0.0,0.0,0.0,1315.0,0.0,0.0,0.0,1315.0,6436.0,0.1948018185334286,0.0,0.0,0.0,1315.0,0.0,0.0,0.0,1315.0,6449.0,0.1900807855647596,0.0,0.0,0.0,1315,0,0,0,1315,6450
19,Pleasure,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2747251325719201,0.4797489457683633,0.3155721842342923,1.0,2446.0,7751.0,2446.0,5305.0,0.0,0.0,0.3224175135808662,0.0,0.0,0.0,2446.0,0.0,0.0,0.0,2446.0,5318.0,0.350790617810465,0.0,0.0,0.0,2446,0,0,0,2446,5319
20,Sadness,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1551770205972908,0.0,0.0,0.0,354.0,0.0,0.0,0.0,354.0,7410.0,0.088583676498544,0.0,0.0,0.0,354,0,0,0,354,7411
21,Sensitivity,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0268323855182351,0.0693770980977247,0.0359350850077279,1.0,279.0,7764.0,279.0,7485.0,0.0,0.0,0.0417242637239583,0.0,0.0,0.0,279,0,0,0,279,7486
22,Suffering,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0408770238951259,0.0,0.0,0.0,288.0,0.0,0.0,0.0,288.0,7476.0,0.057502047516566,0.0,0.0,0.0,288,0,0,0,288,7477
23,Surprise,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0888256972754561,0.0,0.0,0.0,560,0,0,0,560,7205
24,Sympathy,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1312779942504442,0.0,0.0,0.0,1084,0,0,0,1084,6681
25,Yearning,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0886993798520897,0.0,0.0,0.0,692,0,0,0,692,7073
